Vernier Format 2
RKE_withMass.cmbl 3/20/2024 20:39:57 .
Latest
Time	GateState	STime	SDist	SVel	SAccel
t	State	stime	sdist	svel	saccel
s		s	m	m/s	m/s^2

0.6412832	1	1.1270958	0.81	0.933143592837	-0.543079281426
0.6507836	0	1.1432464	0.825	0.915114996084	-1.68948133585
0.6608832	1	1.1598936	0.84	0.886823922771	-1.70941737549
0.6702836	0	1.177093	0.855	0.864929242801	-0.836564457572
0.6802112	1	1.1945834	0.87	0.854941739594	-0.305490979309
0.6895832	0	1.2121838	0.885	0.853020496333	0.0871728431799
0.6993832	1	1.2297526	0.9	0.854248676269	0.0526409102939
0.7085948	0	1.2473024	0.915	0.853952865416	-0.0863519329658
0.718284	1	1.2648834	0.93	0.852728669583	-0.0529115711682
0.7273852	0	1.2824836	0.945	0.851062398322	-0.13643528405
0.7369832	1	1.3001336	0.96	0.847480620726	-0.26943186565
0.7460088	0	1.3178832	0.975	0.844571453485	-0.0583690133428
0.7555832	1	1.3356546	0.99	0.843375261772	-0.076250849275
0.7645168	0	1.3534546	1.005	0.842011837275	-0.0769429143844
0.7740832	1	1.3712836	1.02	0.842002353686	0.0758790757603
0.7830152	0	1.389084	1.035	0.842691895468	0.00159578795747
0.7924304	1	1.4068838	1.05	0.844569493175	0.209372616911
0.8012832	0	1.4246054	1.065	0.845743351189	-0.0768949608562
0.8106836	1	1.4423556	1.08	0.842798798423	-0.254881894258
0.8194836	0	1.4602016	1.095	0.841232753639	0.0793753623925
0.8288052	1	1.4780176	1.11	0.839225461104	-0.304711300312
0.8375836	0	1.4959496	1.125	0.834134532104	-0.263092514061
0.8468836	1	1.5139836	1.14	0.833437273028	0.185765345873
0.8555824	0	1.5319454	1.155	0.834938337283	-0.0186257212589
0.8647832	1	1.5499144	1.17	0.834108254294	-0.0737648390037
0.8734004	0	1.567912	1.185	0.834999816583	0.172840525566
0.8825008	1	1.5858428	1.2	0.836946527396	0.0442954430693
0.8910832	0	1.6037566	1.215	0.837179772887	-0.0182545705109
0.9001032	1	1.6216774	1.23	0.835714532866	-0.145269381662
0.9085944	0	1.6396542	1.245	0.832047909538	-0.262658984736
0.9174832	1	1.6577336	1.26	0.830349790768	0.0748077540448
